id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,geohash,lat_weather,lng_weather,avg_tmpr_f,avg_tmpr_c,wthr_date,year,month,day
0,1,Savoria,47732,US,Indian Rocks Beach,27.850000381469727,-82.84400177001953,dhvn,27.8134,-82.9186,79.9,26.61,2017-09-30,2017,9,30
1,2,Bella Cucina,47732,US,Beaumont,30.038999557495117,-94.15899658203125,9vm4,29.9271,-94.2163,76.45,24.7,2017-09-30,2017,9,30
10,11,The Flaming Wok,47732,US,Grand Junction,39.106998443603516,-108.54399871826172,9wfy,39.0268,-108.471,54.18,12.32,2017-09-30,2017,9,30
103079215104,1,Savoria,4340,US,Kapaa,22.042999267578125,-159.33799743652344,87yt,21.9761,-159.341,78.1,25.6,2017-09-30,2017,9,30
103079215105,2,Bella Cucina,4340,US,Miami,25.57900047302246,-80.36699676513672,dhwc,25.491,-80.5049,81.85,27.7,2017-09-30,2017,9,30
103079215107,4,The Blue Plate,4340,US,Montgomery,30.40399932861328,-95.63400268554688,9v7u,30.2446,-95.9516,74.26,23.48,2017-09-30,2017,9,30
103079215108,5,The Hungry Hippo,4340,US,Gulfport,30.424999237060547,-89.09300231933594,dj2t,30.4154,-89.2553,78.64,25.91,2017-09-30,2017,9,30
103079215109,6,The Daily Grind,4340,US,Gatesville,31.43400001525879,-97.71499633789062,9vdd,31.3148,-97.7139,72.15,22.31,2017-09-30,2017,9,30
103079215110,7,Cafe Roma,4340,US,Sierra Vista,31.55500030517578,-110.28199768066406,9t9e,31.4692,-110.252,73.7,23.17,2017-09-30,2017,9,30
103079215111,8,The Green Olive,4340,US,Tucson,32.125,-110.93499755859375,9t9n,31.9924,-110.968,79.11,26.17,2017-09-30,2017,9,30
103079215112,9,The Grill House,4340,US,Monroe,32.49399948120117,-92.08300018310547,9vy8,32.3548,-92.1086,71.8,22.1,2017-09-30,2017,9,30
103079215114,11,The Flaming Wok,4340,US,Atlanta,33.84299850463867,-84.31500244140625,dnh0,33.7509,-84.3547,72.05,22.25,2017-09-30,2017,9,30
103079215115,12,The Wooden Spoon,4340,US,Blythewood,34.2140007019043,-80.9739990234375,dnn6,34.1035,-81.2049,71.7,22.06,2017-09-30,2017,9,30
103079215116,13,The Firehouse,4340,US,Santa Barbara,34.40999984741211,-119.69300079345703,9q4g,34.283,-119.626,64.91,18.28,2017-09-30,2017,9,30
103079215117,14,The Gourmet Garden,4340,US,Victorville,34.50699996948242,-117.32599639892578,9qhs,34.4536,-117.169,70.23,21.24,2017-09-30,2017,9,30
103079215118,15,The Pearl Kitchen,4340,US,West Memphis,35.15999984741211,-90.15799713134766,9yrb,35.1576,-90.3311,68.64,20.34,2017-09-30,2017,9,30
103079215120,17,The Rustic Table,4340,US,Tulsa,36.167999267578125,-95.85099792480469,9y7v,36.073,-95.9464,68.76,20.42,2017-09-30,2017,9,30
103079215121,18,The Harvest Room,4340,US,Mount Airy,36.48099899291992,-80.60199737548828,dnqx,36.4223,-80.8559,61.62,16.46,2017-09-30,2017,9,30
103079215122,19,The Tasting Room,4340,US,Emporia,36.707000732421875,-77.55999755859375,dq8b,36.571,-77.6413,60.5,15.84,2017-09-30,2017,9,30
103079215124,21,The Lazy Daisy,4340,US,Navajo Dam,36.891998291015625,-107.60299682617188,9we3,36.7465,-107.906,53.34,11.85,2017-09-30,2017,9,30
103079215125,22,The Red Pepper,4340,US,Raton,36.90999984741211,-104.44200134277344,9wt9,36.7393,-104.659,52.82,11.57,2017-09-30,2017,9,30
103079215126,23,The Hungry Pig,4340,US,Somerset,37.071998596191406,-84.61799621582031,dnef,36.9264,-84.7162,60.09,15.59,2017-09-30,2017,9,30
103079215127,24,The Fisherman's Catch,4340,US,Alexandria,38.80500030517578,-77.04499816894531,dqch,38.6904,-77.2932,60.75,15.98,2017-09-30,2017,9,30
103079215128,25,The Cozy Cafe,4340,US,Chantilly,38.89799880981445,-77.43199920654297,dqbv,38.8621,-77.6658,58.47,14.73,2017-09-30,2017,9,30
103079215129,26,The Silver Spoon,4340,US,Absecon,39.446998596191406,-74.52999877929688,dr50,39.4123,-74.514,60.6,15.89,2017-09-30,2017,9,30
103079215130,27,The Corner Cafe,4340,US,Eagle,39.65999984741211,-106.83000183105469,9xh1,39.554,-106.699,44.11,6.73,2017-09-30,2017,9,30
